subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,4/15/2020,all,36.811698,36.842879,17.132289,7.9718535,15-04-20 17:00
concern-economy,4/15/2020,all,56.992024,29.870961,8.7943251,3.1561254,15-04-20 17:00
concern-economy,4/14/2020,all,57.159566,29.665565,8.7932075,3.1979079,14-04-20 19:35
concern-infected,4/14/2020,all,38.344719,36.642256,16.09089,7.5965934,14-04-20 19:35
concern-economy,4/13/2020,all,57.154326,29.819843,8.8092224,3.0669822,13-04-20 19:05
concern-infected,4/13/2020,all,38.79787,36.356667,15.820303,7.7031128,13-04-20 19:05
concern-infected,04-12-20,all,37.150252,36.354122,16.773462,8.2610136,13-04-20 6:50
concern-economy,04-12-20,all,56.843724,30.26084,9.0852522,3.0177649,13-04-20 6:50
concern-infected,04-11-20,all,38.012555,36.800441,16.569675,7.8548123,11-04-20 7:50
concern-economy,04-11-20,all,56.843724,30.26084,9.0852522,3.0177649,11-04-20 7:50
concern-economy,04-10-20,all,57.06725,30.095193,9.0937099,2.9518285,10-04-20 9:55
concern-infected,04-10-20,all,37.999492,36.834147,16.569473,7.8352198,10-04-20 9:55
concern-infected,04-09-20,all,37.500457,36.38094,17.087186,8.1516584,09-04-20 18:30
concern-economy,04-09-20,all,57.075326,30.131905,9.1004618,2.9470866,09-04-20 18:30
concern-economy,04-08-20,all,56.539081,30.665442,8.9935252,3.0943447,08-04-20 22:10
concern-infected,04-08-20,all,36.96633,36.130652,17.203993,8.671082,08-04-20 22:10
concern-economy,04-07-20,all,54.897678,31.463003,9.611591,3.1513887,07-04-20 23:20
concern-infected,04-07-20,all,33.412965,36.373118,18.902791,9.9494827,07-04-20 23:20
concern-infected,04-06-20,all,32.982783,36.513441,19.071331,10.106182,06-04-20 23:50
concern-economy,04-06-20,all,55.311979,31.338252,9.3722758,3.0746686,06-04-20 23:50
concern-infected,04-05-20,all,32.982783,36.513441,19.071331,10.106182,06-04-20 10:50
concern-economy,04-05-20,all,54.400371,31.799203,9.6014506,3.1591725,06-04-20 10:50
concern-economy,04-04-20,all,54.400371,31.799203,9.6014506,3.1591725,04-04-20 0:30
concern-infected,04-04-20,all,32.982783,36.513441,19.071331,10.106182,04-04-20 0:30
concern-economy,04-03-20,all,54.462539,31.712841,9.6709547,3.0979517,03-04-20 13:35
concern-infected,04-03-20,all,32.9665,36.413921,19.133612,10.14452,03-04-20 13:35
concern-infected,04-02-20,all,31.81763,36.3726,19.80058,10.62861,02-04-20 17:46
concern-economy,04-02-20,all,54.5601,31.42808,9.623364,3.319085,02-04-20 17:45
concern-infected,04-01-20,all,31.81763,36.3726,19.80058,10.62861,02-04-20 17:46
concern-economy,04-01-20,all,54.5601,31.42808,9.623364,3.319085,02-04-20 17:45
concern-infected,3/31/2020,all,31.53831,36.23717,20.06977,10.73117,02-04-20 17:46
concern-economy,3/31/2020,all,55.14687,30.67529,9.485602,3.604705,02-04-20 17:45
concern-economy,3/30/2020,all,55.14687,30.67529,9.485602,3.604705,02-04-20 17:45
concern-infected,3/30/2020,all,31.48081,36.19573,20.08361,10.84496,02-04-20 17:46
concern-economy,3/29/2020,all,63.37077,25.67033,6.820952,3.483248,02-04-20 17:45
